                       Headset Description                        ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Product Name: Oculus Rift CV1,,,,,,,,,,,,,,
Serial Number: WMHD30311019KC,,,,,,,,,,,,,,
Headset Refresh Rate: 89.997 frames per second,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
                           Sensor Data                            ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
"Angular Accel. (x,y,z)",,,"Linear Accel. (x,y,z)",,,"Angular Velocity (Gyro) (x,y,z)",,,"Linear Velocity (x,y,z)",,,Yaw,Pitch,Roll
x,y,z,x,y,z,x,y,z,x,y,z,Y,P,R
4.68185,-2.69566,-8.08387,-0.373047,-0.115103,0.325762,-0.0860963,0.163483,0.195449,-0.451867,-0.0532216,-0.0423943,-2.91003,8.38762,2.47373
1.10453,5.89331,-1.81268,1.83865,-0.424426,0.0065552,0.084431,0.294349,0.223739,-0.386302,-0.127165,0.0398621,-0.179477,8.07927,4.06658
4.25829,-2.13314,3.24653,1.26151,1.65064,0.162658,-0.203782,0.157858,-0.0221878,-0.0412481,-0.0317647,-0.0291301,2.84739,5.45492,3.58795
-4.90189,1.23705,-7.81215,0.241784,1.4873,-0.489327,0.166782,-0.0479374,-0.11623,0.0808444,0.229638,0.00187677,2.50123,7.35568,5.12024
9.36671,-3.87474,2.34355,-0.247037,1.04314,0.700561,0.586869,-0.2533,0.0444776,0.0582693,0.559785,0.03872,-0.0293745,9.85251,1.34178
-11.3635,7.17344,-7.90064,-0.228293,-1.22554,-0.538724,0.122472,0.122813,0.0759176,-0.0146554,0.512769,0.0474172,-0.506904,17.3489,4.0079
0.248054,1.62075,4.57836,0.401194,-2.31126,-0.623575,0.608674,0.115647,-0.125967,-0.0178582,0.147091,0.117045,0.834265,18.4722,1.71241
-0.678229,-2.79124,-4.91499,0.171881,-1.30598,-0.417237,-0.182701,-0.165631,0.0135622,0.0300177,-0.181227,-0.055733,0.904364,19.8178,2.71548
-6.88563,-7.07225,-5.19306,-0.245939,-2.1251,-0.168028,-0.251877,-0.274152,-0.069507,0.0225778,-0.5701,-0.0539628,-1.56373,17.7387,2.62382
1.18605,-0.559374,6.24006,-0.09142,0.61945,0.7299,-0.565074,-0.000637038,0.384047,0.0171342,-0.702028,-0.0297301,-2.50339,13.0718,2.01339
-2.08111,6.11072,-1.37581,0.119795,1.716,0.277346,-0.428144,0.0593992,0.338175,0.0182098,-0.649313,-0.0176738,-2.71325,9.8862,3.47594
9.91907,-2.15287,0.780844,0.044897,2.84509,-0.0381066,-0.157621,-0.0525031,-0.263795,0.0239962,-0.108009,0.0313374,-2.73365,3.26247,3.29574
0.195832,-2.94556,-2.28538,-0.0201283,1.41595,0.0460897,0.147153,0.00305231,0.0876039,0.0065203,0.25751,-0.0164433,-3.11192,4.41532,3.09798
6.02295,-8.7535,3.01434,-0.0837929,0.580081,0.488087,0.266299,-0.042828,0.0845362,-0.0213032,0.386975,-0.0161759,-2.32792,7.04758,3.84777
1.1615,-3.58356,4.59981,0.241311,0.197118,0.358458,0.170144,-0.00862423,-0.235051,-0.0186537,0.385816,0.0189081,-2.12019,9.88481,3.39481
-3.17068,1.4334,5.42638,0.132999,-1.847,-0.217287,0.326433,-0.111959,-0.0847874,-0.00258804,0.171219,0.0645401,-3.04434,15.2977,-0.179189
1.48251,-3.26581,2.77572,0.0329781,-0.23009,-0.21384,-0.232482,0.146284,0.111849,-0.00324508,-0.0599247,-0.0243315,-2.61376,15.427,1.68571
0.00788858,0.589864,2.97152,-0.13408,0.106972,0.269941,-0.395086,1.41514,-0.117393,-0.025671,-0.0382846,-0.00338927,6.47879,11.6931,3.1161
4.14395,-2.17788,0.0655837,0.372551,0.680528,0.420969,-0.351362,1.55574,-0.144763,-0.0466092,-0.0110955,0.0199569,24.5155,4.5777,3.34049
-8.86782,-2.26568,0.614969,0.127416,-0.267411,-0.277589,0.0429466,1.68687,-0.346373,-0.0298045,-0.0210741,0.0967275,42.8272,3.97127,4.13569
0.0732997,-5.07356,-7.71717,0.182384,-0.0107422,-1.03943,0.00511297,-0.293358,0.0184536,-0.00263391,0.00460031,-0.0566026,51.716,1.78602,2.42771
4.55319,-6.80598,2.42317,-0.21515,0.169249,-0.124986,-0.1037,-2.06677,0.34261,0.0306794,-0.0388168,-0.155916,38.8999,2.29305,3.10354
-4.62855,9.06826,-4.17455,-0.364947,-0.465881,-0.315881,0.323112,-2.1452,0.0443402,0.0233097,-0.0243154,-0.0418922,12.7033,6.45772,4.5966
10.2805,-10.2688,1.70918,0.132549,-0.0383045,0.232388,-0.382826,-2.41484,0.133215,0.0420826,-0.0270739,0.0313397,-12.3969,4.8091,1.63658
5.45201,0.9812,1.18887,-0.405906,-0.130515,0.36864,0.164377,-1.86028,0.239783,-9.97E-05,-0.00425719,0.149949,-38.2895,4.61244,1.28144
0.514385,12.5734,-0.548039,0.121709,0.337805,-0.0214663,-0.0401528,-1.22118,-0.0116397,-0.0480812,-0.00745722,0.162905,-58.0899,5.27536,1.67964
3.40116,1.90395,-1.14754,-0.090885,0.27749,-0.338508,0.0169669,0.724069,0.050093,0.0015803,0.00730237,0.00922065,-58.1668,5.6789,1.45648
4.42512,-7.04843,-2.65934,-0.21226,0.350117,-0.0592624,0.231918,1.39928,-0.216119,-0.00138876,0.0109607,-0.0398268,-44.3047,6.45841,2.63045
-3.73145,2.74324,-2.38267,-0.313633,-0.294617,0.350571,-0.308022,1.95933,-0.294697,0.00696319,0.00903426,-0.0473904,-26.0891,5.81936,0.696099
1.61547,3.44546,-3.55371,-0.00951411,-0.572276,0.034745,-0.0594328,1.4927,-0.0733962,-0.0479836,-0.00318791,-0.0441615,-5.9972,3.00265,1.97844
2.60968,-7.72813,0.811344,0.862039,0.315098,0.102557,-0.205239,-0.0799519,0.250874,0.00899034,-0.0600436,-0.0420123,1.102,0.510568,3.1467
20.5857,0.389154,2.18469,-0.642175,1.14635,0.90349,0.957561,-0.310359,-0.0331866,0.0330871,0.0822874,0.0190907,-1.58529,3.06476,3.12343
-1.51876,-3.27633,-0.568274,0.140907,-0.0639207,0.223358,2.29524,-0.0589903,-0.011423,-0.036687,0.169157,0.159536,-1.45185,27.9483,2.41315
-4.07935,-3.90409,-0.265829,0.223919,-0.428143,-0.192751,1.64366,-0.147085,-0.116333,-0.0273811,0.0677403,0.143399,-1.55109,50.2912,1.4536
-0.155364,-5.12403,-5.77952,0.341001,0.139038,-0.532385,1.18248,0.0886783,-0.0375288,-0.0163901,-0.000438131,0.111566,-1.18392,66.2494,1.48928
-10.7966,0.012568,-0.297844,0.16606,-0.185842,-0.884402,-0.694656,-0.0200029,0.111044,0.0187677,-0.0195194,-0.0680721,0.0109788,68.7817,2.63645
5.56608,-9.80438,-3.75067,-0.330843,-0.517691,0.134673,-2.93275,0.202622,-0.282956,0.0134841,-0.059963,-0.197806,-0.188835,43.7035,1.6331
